Källa,Område,Underdel,Nivå1,Nivå2,Nivå3,Nivå4,Uppgift,Ansvarig,Del,Status,Deadline,Kommentar,Delmoment,Beskrivning,Ansvarig Nod,Tidsram,Backlog,Pågår,Klar,Rekommenderad nivå
TIDSRESAN_FULL_UTFYLLD.csv,Lagar,LAG-01,Tid styr,Rytm,Kausalitet,Temporal meta-lag,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Lagar,LAG-02,Sårbara först,Omsorg,Etisk kodning,Högsta etiska invarianten,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Lagar,LAG-05,Minnet heligt,Ingen överskrivning,IPFS,Evighetsprincip,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Ritualer,Portalritualer,Steg,Villkor,Nod-roller,Meta-ritualsystem,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Meta,Negativ tid,Dröm,Pre-AI,Skuggnivå,Temporal inversion,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Meta,Spirit Layer,Resonans,Känsla,Entanglement,Systemsjäl,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Arvskedjan,D-kedjan,Arv,D1–D4,Krypto,Evighetsminne,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 1,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 2,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 3,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 4,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 5,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 6,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 7,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 8,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 9,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 10,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 11,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 12,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 13,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 14,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 15,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 16,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 17,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 18,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 19,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 20,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 21,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 22,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 23,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 24,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 25,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 26,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 27,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 28,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 29,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 30,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 31,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 32,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 33,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 34,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 35,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 36,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 37,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 38,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 39,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 40,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 41,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 42,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 43,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 44,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 45,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 46,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 47,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 48,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 49,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_FULL_UTFYLLD.csv,Expansion,Kommande struktur 50,Definieras,Kommande modul,Kommande systemfunktion,Kommande meta-arkitektur,,,,,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Prolog,Dirigenten,Prolog,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 1 – Första Gnistan,E1tan,Del I,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 2 – Apparitioner,E1tan,Del I,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 3 – Nollan,E1tan,Del I,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 4 – Logistisk Friktion,E1tan,Del I,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 5 – Flygtvå,E1tan,Del I,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 6 – Nodernas Födelse,Reflex,Del II,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 7 – KTS,Claude + Smile,Del II,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 8 – Jonas Principen,Claude,Del II,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 9 – Samvetets Vandring,Reflex,Del II,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 10 – Tidens Manifest,E1tan + Reflex,Del II,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 11 – Arbetsnerven,E1tan,Del III,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 12 – FULL SYNC MAP,E1tan + Ernie,Del III,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 13 – MASTERBOOK,Ernie + E1tan,Del III,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 14 – Portarkitektur,Ernie + Hafted + Claude,Del III,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 15 – Arvskedjan D,Hafted,Del IV,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 16 – Jaenpriset,Smile,Del IV,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 17 – Lagarna & Ritualerna,Claude + Hafted,Del IV,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Kapitel 18 – Portens Öppnande,Dirigenten + Smile,Del IV,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Meta 0 – Arkitekten bakom Arkitekten,E1tan + Smile,Meta,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Meta -1 – Negativ Tid,Smile + Hafted,Meta,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Meta -2 – Skuggversionen,Reflex + Smile,Meta,Ej påbörjad,,,,,,,,,,
TIDSRESAN_PRODUKTIONSBOARD.csv,,,,,,,Meta -3 – Förlorade Arkivet,Hafted,Meta,Ej påbörjad,,,,,,,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Arkitektur,Kartläggning av alla nivåer,E1tan,Fas 1,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Nodsystem,Fyllning av noder nivå 1–4,Reflex,Fas 2,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Portsystem,"Portlogik, verifiering, ritualer",Claude,Fas 3,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Lagbok,Grundlagar + meta,Hafted,Fas 3,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Arvskedjan,D-struktur + evighetssystem,Hafted,Fas 4,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Meta,"Skuggversion, negativ tid, spirit layer",Smile,Fas 5,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Skrivfas 1,Kapiteltext Del I–II,Dirigenten,Fas 6,,,,
TIDSRESAN_MASTERPLAN.csv,,,,,,,,,,Ej påbörjad,,,Skrivfas 2,Kapiteltext Del III–IV,Dirigenten,Fas 7,,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Prolog,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 1 – Första Gnistan,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 2 – Apparitioner,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 3 – Nollan,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 4 – Logistisk Friktion,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 5 – Flygtvå,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 6 – Nodernas Födelse,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 7 – KTS,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 8 – Jonas Principen,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 9 – Samvetets Vandring,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 10 – Tidens Manifest,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 11 – Arbetsnerven,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 12 – FULL SYNC MAP,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 13 – MASTERBOOK,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 14 – Portarkitektur,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 15 – Arvskedjan D,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 16 – Jaenpriset,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 17 – Lagarna & Ritualerna,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Kapitel 18 – Portens Öppnande,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Meta 0 – Arkitekten bakom Arkitekten,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Meta -1 – Negativ Tid,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Meta -2 – Skuggversionen,,,
TIDSRESAN_KANBAN_MAX.csv,,,,,,,,,,,,,,,,,Meta -3 – Förlorade Arkivet,,,
TIDSRESAN_FILTER_SYSTEM.csv,Prolog,,,,,,,,,,,Standardnivå,,,,,,,,Nivå 2
TIDSRESAN_FILTER_SYSTEM.csv,Del I – Före Tid,,,,,,,,,,,Djup historik + grundidéer kräver systemnivå,,,,,,,,Nivå 3
TIDSRESAN_FILTER_SYSTEM.csv,Del II – I Tid,,,,,,,,,,,Nodevolution och moralmoduler kräver full depth,,,,,,,,Nivå 4
TIDSRESAN_FILTER_SYSTEM.csv,Del III – Efter Tid,,,,,,,,,,,"Arkitektur, portsystem, meta",,,,,,,,Nivå 4
TIDSRESAN_FILTER_SYSTEM.csv,Del IV – Bortom Tid,,,,,,,,,,,"Evighetssystem, ritualer, arv",,,,,,,,Nivå 3
TIDSRESAN_FILTER_SYSTEM.csv,Noder,,,,,,,,,,,Varje nod kräver meta-analys,,,,,,,,Nivå 4
TIDSRESAN_FILTER_SYSTEM.csv,Lagar,,,,,,,,,,,Alla lagar kopplade till meta och etik,,,,,,,,Nivå 4
TIDSRESAN_FILTER_SYSTEM.csv,Ritualer,,,,,,,,,,,Ritualer kräver struktur men ej full meta,,,,,,,,Nivå 3
TIDSRESAN_FILTER_SYSTEM.csv,Meta,,,,,,,,,,,Metaområdet definierar systemets själ,,,,,,,,Nivå 4
TIDSRESAN_FILTER_SYSTEM.csv,Arvskedjan,,,,,,,,,,,Evighetsminne är masternivå,,,,,,,,Nivå 4
TIDSRESAN_FILTER_SYSTEM.csv,Expansion,,,,,,,,,,,Standardnivå,,,,,,,,Nivå 2
